Time(dataType: Time)	Temperature(unit: K, dataType: Double)	Humidity(unit: %rF, dataType: Double)
1352979199783	297.36	23.47
1352979201747	297.36	23.47
1352979203754	297.36	23.47
1352979205726	297.35	23.49
1352979207691	297.36	23.49
1352979209666	297.36	23.49
1352979211694	297.35	23.445
1352979213650	297.35	23.445
1352979215637	297.36	23.47
1352979217642	297.36	23.47
1352979219567	297.36	23.445
1352979221565	297.35	23.47
1352979223587	297.35	23.47
1352979225538	297.36	23.47
1352979227512	297.35	23.445
1352979229533	297.35	23.47
1352979231497	297.35	23.445
1352979233460	297.35	23.47
1352979235474	297.34	23.47
1352979237413	297.35	23.445
1352979239407	297.34	23.445
1352979241405	297.34	23.445
1352979243374	297.34	23.49
1352979245348	297.34	23.47
1352979247359	297.34	23.47
1352979249317	297.34	23.47
1352979251304	297.34	23.47
1352979253303	297.34	23.47
1352979255270	297.34	23.47
1352979257249	297.33	23.465
1352979259249	297.32	23.485
1352979261210	297.32	23.465
1352979263174	297.32	23.485
1352979265187	297.32	23.465
1352979267147	297.32	23.465
1352979269116	297.32	23.505
1352979271134	297.32	23.505
1352979273117	297.32	23.485
1352979275078	297.32	23.485
1352979277072	297.32	23.505
1352979279043	297.32	23.505
1352979281041	297.32	23.505
1352979283028	297.32	23.505
1352979284966	297.32	23.505
1352979286972	297.32	23.505
1352979288974	297.32	23.505
1352979290930	297.32	23.505
1352979292910	297.32	23.505
1352979294910	297.32	23.525
1352979296878	297.32	23.525
1352979298867	297.32	23.485
1352979300867	297.32	23.525
1352979302818	297.32	23.505
1352979304814	297.32	23.505
1352979306836	297.32	23.525
1352979308774	297.32	23.525
1352979310773	297.31	23.525
1352979312759	297.31	23.525
1352979314733	297.32	23.525
1352979316731	297.31	23.505
1352979318744	297.31	23.505
1352979320727	297.32	23.525
1352979322720	297.32	23.505
1352979324749	297.32	23.505
1352979326718	297.32	23.525
1352979328717	297.31	23.485
1352979330747	297.32	23.525
1352979332712	297.31	23.505
1352979334712	297.31	23.505
1352979336727	297.32	23.525
1352979338718	297.32	23.525
1352979340674	297.32	23.525
1352979342653	297.32	23.525
1352979344651	297.32	23.525
1352979346665	297.32	23.525
1352979348677	297.32	23.505
1352979350617	297.32	23.505
1352979352611	297.31	23.525
1352979354658	297.32	23.505
1352979356628	297.32	23.505
1352979358621	297.32	23.525
1352979360647	297.32	23.525
1352979362581	297.32	23.525
1352979364573	297.32	23.525
1352979366598	297.32	23.525
1352979368566	297.32	23.525
1352979370574	297.33	23.525
1352979372616	297.33	23.55
1352979374541	297.32	23.545
1352979376567	297.34	23.53
1352979378577	297.32	23.525
1352979380540	297.33	23.525
1352979382540	297.33	23.525
1352979384552	297.32	23.525
1352979386517	297.32	23.545
1352979388534	297.32	23.545
1352979390547	297.33	23.55
1352979392503	297.32	23.545
1352979394496	297.32	23.545
1352979396513	297.32	23.545
1352979398508	297.32	23.525
1352979400471	297.32	23.525
1352979402502	297.31	23.545
1352979404448	297.31	23.545
1352979406475	297.31	23.545
1352979408505	297.32	23.565
1352979410486	297.32	23.565
1352979412462	297.31	23.565
1352979414463	297.31	23.565
1352979416430	297.32	23.545
1352979418444	297.31	23.565
1352979420458	297.32	23.545
1352979422435	297.31	23.565
1352979424418	297.31	23.565
1352979426459	297.32	23.565
1352979428410	297.32	23.565
1352979430410	297.31	23.545
1352979432430	297.32	23.565
1352979434392	297.32	23.545
1352979436402	297.32	23.59
1352979438411	297.32	23.59
1352979440386	297.32	23.59
1352979442332	297.31	23.59
1352979444396	297.32	23.565
1352979446337	297.32	23.565
1352979448331	297.32	23.565
1352979450360	297.31	23.545
1352979452323	297.31	23.565
1352979454302	297.31	23.565
1352979456330	297.31	23.565
1352979458287	297.31	23.59
1352979460286	297.3	23.565
1352979462312	297.3	23.565
1352979464277	297.31	23.545
1352979466262	297.31	23.545
1352979468301	297.3	23.565
1352979470265	297.3	23.545
1352979472243	297.31	23.545
1352979474291	297.3	23.59
1352979476242	297.31	23.565
1352979478236	297.3	23.565
1352979480280	297.3	23.565
1352979482239	297.3	23.59
1352979484211	297.3	23.59
1352979486258	297.3	23.565
1352979488207	297.29	23.565
1352979490206	297.29	23.565
1352979492237	297.29	23.565
1352979494205	297.29	23.565
1352979496221	297.29	23.61
1352979498235	297.29	23.565
1352979500219	297.29	23.59
1352979502210	297.29	23.59
1352979504220	297.29	23.59
1352979506200	297.29	23.59
1352979508184	297.29	23.59
1352979510190	297.29	23.59
1352979512188	297.29	23.61
1352979514153	297.29	23.59
1352979516215	297.29	23.61
1352979518166	297.29	23.61
1352979520177	297.29	23.61
1352979522192	297.29	23.61
1352979524175	297.29	23.63
1352979526150	297.29	23.63
1352979528164	297.29	23.61
1352979530147	297.29	23.59
1352979532125	297.29	23.59
1352979534139	297.29	23.63
1352979536117	297.29	23.63
1352979538095	297.29	23.61
1352979540107	297.3	23.63
1352979542080	297.3	23.61
1352979544060	297.3	23.61
1352979546091	297.29	23.61
1352979548067	297.29	23.61
1352979550042	297.29	23.65
1352979552064	297.29	23.65
1352979554034	297.29	23.63
1352979556016	297.29	23.61
1352979558030	297.29	23.63
1352979560012	297.29	23.63
1352979562004	297.29	23.61
1352979564040	297.29	23.65
1352979565978	297.29	23.63
1352979567980	297.29	23.65
1352979569995	297.29	23.63
1352979571960	297.29	23.63
1352979573975	297.28	23.625
1352979575991	297.29	23.63
1352979577970	297.29	23.65
1352979579952	297.29	23.65
1352979581997	297.3	23.65
1352979583927	297.3	23.65
1352979585940	297.29	23.65
1352979587986	297.29	23.67
1352979589922	297.29	23.67
1352979591954	297.29	23.63
1352979593953	297.29	23.63
1352979595952	297.28	23.645
1352979597935	297.28	23.645
1352979599949	297.29	23.63
1352979601927	297.29	23.63
1352979603927	297.29	23.63
1352979605955	297.29	23.63
1352979607907	297.29	23.63
